п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"№ 661ТБ";"Журавлева Алина Александровна (Кафе ""KUBA"")";"Москва г, Лобненская ул, дом № 13, корпус 2";"САО+СЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8920074";"37.5260775";"18.04.2025";"https://durnovcev2000.kaiten.ru/33680253"
"№ 1042";"ИП Елесин В.В., Магазин «Место Пиво»";"г. Москва, Лобненская, д. 13, к. 1";"САО+СЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.888355";"37.533663";"18.04.2025";"https://durnovcev2000.kaiten.ru/41144598"
"132757";"ООО «Восход»/Пекарня Буханка";"Москва г, Полины Осипенко ул, дом № 10, корпус 1";"САО+СЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.7791444";"37.5331883";"18.04.2025";"https://durnovcev2000.kaiten.ru/33814920"
"1206";"ООО «Смарт Лавка»/Магазин SPAR EXPRESS";"Москва г, Гризодубовой ул, дом 2";"САО+СЗАО";"Эсток-Сервис";"Певзнер Ю.А.";"КВ";"55.78261579999999";"37.531815";"18.04.2025";"https://durnovcev2000.kaiten.ru/33680791"
"137335";"Салон красоты ""INDI """;"Химки, г Химки, ул Маяковского, д. 4";"САО+СЗАО";"Технологии Безопасности";"Бурлакова Д.М.";"КВ";"55.895491";"37.445046";"17.04.2025";"https://durnovcev2000.kaiten.ru/33686520"
"1461";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"Московская обл, Химки г, Московская ул, дом 3, помещение 3";"САО+СЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.8933055";"37.44986979999999";"17.04.2025";"https://durnovcev2000.kaiten.ru/33680540"
"135127";"Мой ломбард";"Московская обл, Химки г, Московская ул, дом 3";"САО+СЗАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.8933055";"37.44986979999999";"17.04.2025";"https://durnovcev2000.kaiten.ru/33680542"
"637 ТБ";"ИП Санферова Наталья Александровна/Детский клуб";"Москва г, Дыбенко ул, дом № 38, корпус 1";"САО+СЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.8731161";"37.4837237";"17.04.2025";"https://durnovcev2000.kaiten.ru/33680835"
"133095";"ИП Лужина Вероника Андреевна (Салон красоты «Vesper»)";"Москва г, Дыбенко ул, дом 38, корпус 1, этаж 2";"САО+СЗАО";"Гранит";"Мозговой И.В.";"КВ";"55.87627750000001";"37.4833739";"17.04.2025";"https://durnovcev2000.kaiten.ru/33680838"
"134269";"ИП Лапаева Вера Сергеевна/ Пекарня Буханка МО";"МО , Красногорский р-н, пгт Нахабино, ул.Белобородова , 8";"САО+СЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.8501154";"37.1928747";"16.04.2025";"https://durnovcev2000.kaiten.ru/33681003"
"135101";"ООО «Виктория»/Медицинский офис INVITRO";"Московская обл, Истра г, деревня Покровское, Центральная ул, дом 48А";"САО+СЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.911113";"36.843314";"16.04.2025";"https://durnovcev2000.kaiten.ru/33679944"
"ТО-1171";"ООО «Диагностика АСК» (Медицинский центр «CMD-анализы»)";"МО, г.о. Красногорск, р. п. Нахабино, ул. Королева, д. 5, пом. 16";"САО+СЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.8507841";"37.1937181";"16.04.2025";"https://durnovcev2000.kaiten.ru/33681005"
"131662";"ООО ""Арсе"" /аптека Планета Здоровь";"Дедовск ул Победы, дом № 1";"САО+СЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.8700999";"37.1127624";"16.04.2025";"https://durnovcev2000.kaiten.ru/43239494"
"90464";"ООО «Вино Розница» м-н винзавода ""Мильстрим""";"с/п. Лучинское, п. Чеховский, стр. 6";"САО+СЗАО";"Гранит";"Плиткин А.";"КВ";"55.916641";"36.8589849";"16.04.2025";"https://durnovcev2000.kaiten.ru/33681543"
"132742";"ООО ""ЗДОРОВЬЕ"" Аптека Планета Здоровья";"Московская обл, Истринский р-н, Черная д., Широкая ул, строение № 5А";"САО+СЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.8409774";"37.1292649";"16.04.2025";"https://durnovcev2000.kaiten.ru/33681016"
"133505";"ООО ВКУСНО Пекарня ""Буханка""";"Москва, Пятницкое шоссе, дом 6";"САО+СЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.8723649";"37.3170671";"16.04.2025";"https://durnovcev2000.kaiten.ru/33680724"
"ТО-1513";"Гемотест";"Московская обл, Химки г, Совхозная ул, дом № 10";"САО+СЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.9009401";"37.4827203";"15.04.2025";"https://durnovcev2000.kaiten.ru/33680220"
"ТО-5878";"Валдберриз";"Московская обл, Химки г, Совхозная ул, дом 8";"САО+СЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.89963179999999";"37.4820618";"15.04.2025";"https://durnovcev2000.kaiten.ru/33680217"
"№ 1018ТБ";"ИП ДИКУН МАРИАННА ИГОРЕВНА";"Химки  ул. Совхозная, дом 11";"САО+СЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8974034";"37.4779292";"15.04.2025";"https://durnovcev2000.kaiten.ru/40159355"
"131764";"ООО ""Азон"" аптека Планета Здоровья";"МО,Долгопрудный г, Ракетостроителей пр-кт, дом № 7/1";"САО+СЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.933292";"37.503388";"15.04.2025";"https://durnovcev2000.kaiten.ru/33681468"
"132005";"ООО ""Реон"" / Аптека Планета Здоровья";"Московская обл, Долгопрудный г, Новый Бульвар ул, дом № 7к1";"САО+СЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.936308";"37.506774";"15.04.2025";"https://durnovcev2000.kaiten.ru/33681451"
