п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"137104";"ООО «Твой Слух» (Мед. Офис по проверке слуха и продаже аппаратов)";"Москва г, пр-кт Мира, д. 79";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.791178";"37.634241";"17.03.2025";"https://durnovcev2000.kaiten.ru/32562100"
"-137104";"ООО «Твой Слух» (Мед. Офис по проверке слуха и продаже аппаратов)";"Москва г, пр-кт Мира, д. 79";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.79071159999999";"37.6341264";"17.03.2025";"https://durnovcev2000.kaiten.ru/32562100"
"134646";"ООО «Мой Ломбард», ломбард";"Москва г, проспект Мира , дом № 40";"ЦАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.780227";"37.6335184";"16.03.2025";"https://durnovcev2000.kaiten.ru/28043912"
"136788";"ИП Суханов Вячеслав Валерьевич / Бар «Крафт Мафия»";"Москва ул Архитектора Щусева, д. 1";"ЦАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.6997643";"37.6370168";"04.03.2025";"https://durnovcev2000.kaiten.ru/33814856"
"1470";"остановочная платформа МЦК Деловой центер";"г Москва ул Тестовская, д 1";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.7479421";"37.5333244";"18.02.2025";"https://durnovcev2000.kaiten.ru/32562143"
"1449";"остановочная платформа МЦК Хорошево";"Москва, Хорошёвское шоссе, 43";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.77706";"37.507424";"18.02.2025";"https://durnovcev2000.kaiten.ru/32562151"
"ТО-№ 985ТБ";"ИП Ионова Татьяна Юрьевна /Офис";"Москва г, ул Чаплыгина, д. 6";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7639423";"37.6458946";"13.02.2025";"https://durnovcev2000.kaiten.ru/38435959"
"22121";"ООО ""Имплант Клиник Север"", Стоматология ""Имплант-клиник""";"Москва г, , наб Котельническая, д. 21, этаж 2";"ЦАО";"Секьюрикоп-техник Краснодар";"Тосунян А.";"КВ";"55.7432853";"37.644841";"29.01.2025";"https://durnovcev2000.kaiten.ru/36924246"
"ТО-1795";"ИП Марджанян Феликс Артурович (Пекарня МаМан)";"Москва ул. Автозаводская д. 13/1";"ЦАО";"Технологии Безопасности";"Сергеев С.В.";"КВ";"55.7038498";"37.6347307";"24.01.2025";"https://durnovcev2000.kaiten.ru/33814792"
"134883";"ООО «НИКА ЕФАРМ»/Аптека ""apteka.ru""";"Москва г, Архитектора Щусева ул, дом 1";"ЦАО";"Гранит";"Мозговой И.В.";"КВ";"55.6997643";"37.6370168";"16.01.2025";"#32562520
